id,astar_1000tr_reg_dep,cr_1000tr_dep,astar_1000tr_reg_arr,cr_1000tr_arr,astar_1000tr_reg_route,cr_1000tr_route,astar_1000tr_reg_traveltime,cr_1000tr_traveltime,same_traveltime?,same_route?
67,67.0,67.0,175.0,175.0,['B0C0 C0D0 D0D1 D1D2 D2D3 D3D4 D4D5 D5D6 D6D7 D7D8 D8E8 E8E7'],['B0C0 C0D0 D0D1 D1D2 D2D3 D3D4 D4D5 D5D6 D6D7 D7D8 D8E8 E8E7'],108.0,108.0,True,True
68,68.0,68.0,180.0,180.0,['A8A9 A9B9 B9C9 C9D9 D9E9 E9F9 F9G9 G9H9 H9H8 H8H7 H7H6 H6H5 H5H4 H4H5'],['A8A9 A9B9 B9C9 C9D9 D9E9 E9F9 F9G9 G9H9 H9H8 H8H7 H7H6 H6H5 H5H4 H4H5'],112.0,112.0,True,True
69,71.0,71.0,151.0,151.0,['H5G5 G5F5 F5E5 E5D5 D5C5 C5C4 C4B4 B4C4'],['H5G5 G5F5 F5E5 E5D5 D5C5 C5C4 C4B4 B4C4'],80.0,80.0,True,True
70,70.0,70.0,132.0,132.0,['E7E8 E8F8 F8F7 F7F6 F6F5 F5F4 F4F5'],['E7E8 E8F8 F8F7 F7F6 F6F5 F5F4 F4F5'],62.0,62.0,True,True
71,71.0,71.0,171.0,171.0,['C7C8 C8D8 D8E8 E8F8 F8G8 G8H8 H8I8 I8I7 I7I6 I6I5 I5I4'],['C7C8 C8D8 D8E8 E8F8 F8G8 G8H8 H8I8 I8I7 I7I6 I6I5 I5I4'],100.0,100.0,True,True
72,72.0,72.0,128.0,128.0,['E2F2 F2E2 E2D2 D2C2 C2D2'],['E2F2 F2E2 E2D2 D2C2 C2D2'],56.0,56.0,True,True
73,73.0,73.0,125.0,125.0,['F3G3 G3H3 H3H2 H2H1 H1I1'],['F3G3 G3H3 H3H2 H2H1 H1I1'],52.0,52.0,True,True
74,74.0,74.0,119.0,119.0,['C1D1 D1D2 D2D1'],['C1D1 D1D2 D2D1'],45.0,45.0,True,True
75,75.0,75.0,151.0,151.0,['J9I9 I9H9 H9G9 G9G8 G8G7 G7G6 G6G5 G5G4 G4F4'],['J9I9 I9H9 H9G9 G9G8 G8G7 G7G6 G6G5 G5G4 G4F4'],76.0,76.0,True,True
76,76.0,76.0,143.0,143.0,['E4D4 D4E4 E4E3 E3E2 E2E1 E1F1 F1G1'],['E4D4 D4E4 E4E3 E3E2 E2E1 E1F1 F1G1'],67.0,67.0,True,True
77,77.0,77.0,127.0,127.0,['B4A4 A4B4 B4B3 B3C3 C3D3'],['B4A4 A4B4 B4B3 B3C3 C3D3'],50.0,50.0,True,True
78,78.0,78.0,141.0,141.0,['D4D5 D5D6 D6D7 D7D8 D8E8 E8F8 F8E8'],['D4D5 D5D6 D6D7 D7D8 D8E8 E8F8 F8E8'],63.0,63.0,True,True
79,79.0,79.0,99.0,99.0,['C4C3 C3C4'],['C4C3 C3C4'],20.0,20.0,True,True
80,80.0,80.0,198.0,198.0,['A8B8 B8C8 C8D8 D8E8 E8F8 F8G8 G8G7 G7G6 G6G5 G5G4 G4G3 G3G2 G2G3'],['A8B8 B8C8 C8D8 D8E8 E8F8 F8G8 G8G7 G7G6 G6G5 G5G4 G4G3 G3G2 G2G3'],118.0,118.0,True,True
81,81.0,81.0,201.0,201.0,['C4C3 C3C4 C4C5 C5C6 C6C7 C7C8 C8D8 D8E8 E8F8 F8G8 G8H8 H8I8 I8H8'],['C4C3 C3C4 C4C5 C5C6 C6C7 C7C8 C8D8 D8E8 E8F8 F8G8 G8H8 H8I8 I8H8'],120.0,120.0,True,True
82,83.0,83.0,205.0,205.0,['I4H4 H4G4 G4F4 F4E4 E4D4 D4C4 C4B4 B4A4 A4A5 A5A6 A6A7 A7A8 A8B8'],['I4H4 H4G4 G4F4 F4E4 E4D4 D4C4 C4B4 B4A4 A4A5 A5A6 A6A7 A7A8 A8B8'],122.0,122.0,True,True
83,83.0,83.0,164.0,164.0,['C5B5 B5C5 C5D5 D5E5 E5F5 F5G5 G5H5'],['C5B5 B5C5 C5D5 D5E5 E5F5 F5G5 G5H5'],81.0,81.0,True,True
84,84.0,84.0,118.0,118.0,['C3B3 B3B4 B4B5 B5A5'],['C3B3 B3B4 B4B5 B5A5'],34.0,34.0,True,True
85,85.0,85.0,181.0,181.0,['J1J2 J2J3 J3J4 J4J5 J5J6 J6I6 I6H6 H6G6 G6F6 F6F7'],['J1J2 J2J3 J3J4 J4J5 J5J6 J6I6 I6H6 H6G6 G6F6 F6F7'],96.0,96.0,True,True
86,86.0,86.0,138.0,138.0,['E7E6 E6F6 F6G6 G6H6 H6I6'],['E7E6 E6F6 F6G6 G6H6 H6I6'],52.0,52.0,True,True
87,88.0,88.0,214.0,214.0,['H8I8 I8I7 I7I6 I6I5 I5I4 I4I3 I3I2 I2I1 I1I0 I0H0 H0G0 G0F0 F0E0 E0D0 D0C0 C0D0'],['H8I8 I8I7 I7I6 I6I5 I5I4 I4I3 I3I2 I2I1 I1I0 I0H0 H0G0 G0F0 F0E0 E0D0 D0C0 C0D0'],126.0,126.0,True,True
88,88.0,88.0,141.0,141.0,['B1C1 C1D1 D1E1 E1E2 E2E3 E3E4'],['B1C1 C1D1 D1E1 E1E2 E2E3 E3E4'],53.0,53.0,True,True
89,89.0,89.0,152.0,152.0,['E2F2 F2E2 E2E3 E3E4 E4E5 E5E6 E6F6'],['E2F2 F2E2 E2E3 E3E4 E4E5 E5E6 E6F6'],63.0,63.0,True,True
90,90.0,90.0,171.0,171.0,['H1I1 I1H1 H1G1 G1G2 G2G3 G3G4 G4G5 G5G6 G6G5'],['H1I1 I1H1 H1G1 G1G2 G2G3 G3G4 G4G5 G5G6 G6G5'],81.0,81.0,True,True
91,91.0,91.0,245.0,245.0,['J7J8 J8J7 J7J6 J6J5 J5J4 J4J3 J3J2 J2I2 I2H2 H2G2 G2F2 F2E2 E2D2 D2C2 C2B2 B2A2'],['J7J8 J8J7 J7J6 J6J5 J5J4 J4J3 J3J2 J2I2 I2H2 H2G2 G2F2 F2E2 E2D2 D2C2 C2B2 B2A2'],154.0,154.0,True,True
92,92.0,92.0,172.0,172.0,['E0F0 F0E0 E0D0 D0D1 D1D2 D2D3 D3D4 D4E4'],['E0F0 F0E0 E0D0 D0D1 D1D2 D2D3 D3D4 D4E4'],80.0,80.0,True,True
93,93.0,93.0,212.0,212.0,['I4I3 I3H3 H3G3 G3F3 F3E3 E3D3 D3D4 D4D5 D5D6 D6C6 C6B6'],['I4I3 I3H3 H3G3 G3F3 F3E3 E3D3 D3D4 D4D5 D5D6 D6C6 C6B6'],119.0,119.0,True,True
94,94.0,94.0,160.0,160.0,['C0D0 D0D1 D1D2 D2D3 D3D4 D4D5 D5E5 E5D5'],['C0D0 D0D1 D1D2 D2D3 D3D4 D4D5 D5E5 E5D5'],66.0,66.0,True,True
95,95.0,95.0,170.0,170.0,['E2E3 E3E4 E4E5 E5E6 E6E7 E7E8 E8D8 D8C8 C8D8'],['E2E3 E3E4 E4E5 E5E6 E6E7 E7E8 E8D8 D8C8 C8D8'],75.0,75.0,True,True
96,96.0,96.0,262.0,262.0,['C6B6 B6C6 C6D6 D6E6 E6F6 F6G6 G6H6 H6I6 I6J6 J6J5 J5J4 J4J3 J3J2 J2J1 J1J0 J0I0'],['C6B6 B6C6 C6D6 D6E6 E6F6 F6G6 G6H6 H6I6 I6J6 J6J5 J5J4 J4J3 J3J2 J2J1 J1J0 J0I0'],166.0,166.0,True,True
97,97.0,97.0,166.0,166.0,['E4E5 E5F5 F5G5 G5H5 H5I5 I5I4 I4I3'],['E4E5 E5F5 F5G5 G5H5 H5I5 I5I4 I4I3'],69.0,69.0,True,True
98,98.0,98.0,190.0,190.0,['F4G4 G4F4 F4E4 E4D4 D4C4 C4B4 B4A4 A4A5 A5A6 A6A7'],['F4G4 G4F4 F4E4 E4D4 D4C4 C4B4 B4A4 A4A5 A5A6 A6A7'],92.0,92.0,True,True
99,99.0,99.0,188.0,188.0,['J9J8 J8J7 J7J6 J6J5 J5J4 J4J3 J3J2 J2J1 J1I1 I1J1'],['J9J8 J8J7 J7J6 J6J5 J5J4 J4J3 J3J2 J2J1 J1I1 I1J1'],89.0,89.0,True,True
100,100.0,100.0,190.0,190.0,['J5J6 J6J5 J5J4 J4J3 J3J2 J2J1 J1J0 J0I0 I0J0 J0J1'],['J5J6 J6J5 J5J4 J4J3 J3J2 J2J1 J1J0 J0I0 I0J0 J0J1'],90.0,90.0,True,True
101,101.0,101.0,233.0,233.0,['I3H3 H3G3 G3F3 F3E3 E3D3 D3D4 D4D5 D5D6 D6D7 D7D8 D8C8 C8B8 B8A8'],['I3H3 H3G3 G3F3 F3E3 E3D3 D3D4 D4D5 D5D6 D6D7 D7D8 D8C8 C8B8 B8A8'],132.0,132.0,True,True
102,102.0,102.0,181.0,181.0,['E8E7 E7E6 E6E5 E5E4 E4E3 E3E2 E2D2 D2C2 C2D2'],['E8E7 E7E6 E6E5 E5E4 E4E3 E3E2 E2D2 D2C2 C2D2'],79.0,79.0,True,True
103,103.0,103.0,222.0,222.0,['E0F0 F0E0 E0D0 D0C0 C0B0 B0A0 A0A1 A1A2 A2A3 A3A4 A4A5 A5A6 A6A7 A7A8'],['E0F0 F0E0 E0D0 D0C0 C0B0 B0A0 A0A1 A1A2 A2A3 A3A4 A4A5 A5A6 A6A7 A7A8'],119.0,119.0,True,True
104,104.0,104.0,188.0,188.0,['D8D7 D7E7 E7F7 F7G7 G7H7 H7I7 I7J7 J7J8'],['D8D7 D7E7 E7F7 F7G7 G7H7 H7I7 I7J7 J7J8'],84.0,84.0,True,True
105,105.0,105.0,188.0,188.0,['C7C8 C8D8 D8E8 E8F8 F8G8 G8H8 H8H7 H7H6 H6I6'],['C7C8 C8D8 D8E8 E8F8 F8G8 G8H8 H8H7 H7H6 H6I6'],83.0,83.0,True,True
